tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
101   -7.64 -2.347    297  19         |   -3.63 -2.393    402  67         |  -20.00 -2.546*   962 179         |   -9.16 -2.591   2146 200         
102   -7.47 -2.353    334  58         |  -20.00 -2.393*   465  69         |   -1.53 -2.545    965 183         |   -9.54 -2.590   1951 200         
103   -6.55 -2.358    409  59         |   -5.57 -2.408    413  71         |   -1.62 -2.544    673 188         |   -0.90 -2.595   1608 200         
104  -20.00 -2.364*   438  62         |   -5.35 -2.415    423  73         |   -1.67 -2.550    650 185         |   -7.65 -2.595   1600 200         
105   -6.70 -2.380    391  64         |  -20.00 -2.427*   479  75         |   -1.67 -2.540    497 185         |   -0.32 -2.594   1247 200         
106   -5.05 -2.388    455  66         |   -4.06 -2.431    395  79         |   -1.57 -2.545    471 186         |   -0.30 -2.595   1069 200         
107   -5.88 -2.397    400  67         |   -4.52 -2.447    395  81         |   -1.34 -2.546    508 180         |   -8.41 -2.593    704 200         
108  -20.00 -2.401*   467  70         |   -4.14 -2.451    363  85         |   -1.42 -2.551    311  35         |   -0.82 -2.595    522 200         
109   -4.44 -2.414    420  73         |   -3.82 -2.471    422  93         |   -1.42 -2.554    311  35         |   -0.42 -2.592    502 200         
110   -3.03 -2.429    420  77         |   -3.46 -2.476    314  35         |   -2.92 -2.555    324  34         |   -0.43 -2.593    343  38         
111   -4.92 -2.441    402  81         |   -3.21 -2.486    307  34         |   -1.22 -2.559    301  34         |   -0.45 -2.592    511 200         
112   -4.25 -2.446    361  83         |   -2.71 -2.498    304  34         |   -0.97 -2.564    297  34         |   -0.28 -2.599    668 200         
113   -3.98 -2.466    417  91         |   -5.43 -2.508    317  34         |   -0.89 -2.568    296  33         |   -0.18 -2.599    678 200         
114   -3.51 -2.475    376  96         |   -2.06 -2.519    296  34         |   -1.01 -2.568    297  33         |   -8.05 -2.593    698 200         
